"","Mean Bezier Corrected ML","LBF","Rank","Model_Probability"
"Island",-818.411969,-76.0562853333333,4,3.05202075614238e-17
"Panmixia",-822.702245666667,-84.6368386666668,7,4.18161457347383e-19
"Stepping Stone Asymmetric",-814.553273,-68.3388933333333,3,1.44676456417601e-15
"Stepping Stone Northward",-820.269465333333,-79.7712779999999,5,4.76307121726149e-18
"Stepping Stone Southward",-822.323244666667,-83.8788366666668,6,6.10860500413307e-19
"Stepping Stone Symmetric",-780.383826333333,0,1,0.999999999999997
"Stepping Stone Two Parameter",-814.463857666667,-68.1600626666666,2,1.58208731652048e-15
